question_text,options,solution_text,question_no,exercise,path,chapter,subject,grade,book
The additive inverse of 14 is _______.,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/1530605082469930.png""/>
-14
Additive inverses are negatives of each other.

Additive inverse of +14 is .",Q. 42,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
The additive inverse of –1 is _______.,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/1530605083214258.png""/>
1
Additive inverses are negatives of each other. Additive inverse of -1 is .",Q. 43,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
The additive inverse of 0 is _______.,NA,"0
Zero is the only number with additive inverse equal to itself.",Q. 44,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
The number of integers lying between –5 and 5 is _______.,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/1530605083901788.jpg""/>
9
The integers -4, -3, -2, -1, 0, 1, 2, 3 and 4 lie between –5 and 5. So, nine integers lie between –5 and 5.",Q. 45,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
(–11) + (–2) + (–1) = ________.,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/1530605084649626.png""/>
14
To add negative integers, we add the corresponding positive integers and retain the negative sign with the sum.",Q. 46,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
_______ + (–11) + 111 = 130,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/153060508609379.png""/>
30
To add a positive integer and a negative integer, we ignore the signs and subtract integer with smaller numerical value from the integer with larger numerical value and take the sign of the larger one.


Since 111 is the larger of the two numbers, positive sign is retained.


The missing value is 30.",Q. 47,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
(–80) + 0 + (–90) = _______,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/1530605087530868.png""/>
-170

To add negative integers, we add the corresponding positive integers and retain the negative sign with the sum.",Q. 48,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
_______ –3456 = –8910,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/1530605090390934.png""/>
-5454


To add a positive integer and a negative integer, we ignore the signs and subtract integer with smaller numerical value from the integer with larger numerical value and take the sign of the larger one.


Since 8910 is the larger of the two numbers, negative sign is retained.


The missing value is -5454.",Q. 49,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
(–11) + (–15) _______ 11 + 15,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/1530605093248497.png""/>
To add negative integers, we add the corresponding positive integers and retain the negative sign with the sum.",Q. 50,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
(–71) + (+9) _______ (–81) + (–9),NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/1530605096862374.png""/>
>

To add a positive integer and a negative integer, we ignore the signs and subtract integer with smaller numerical value from the integer with larger numerical value and take the sign of the larger one.


Since 71 is the larger of the two numbers, negative sign is retained.



To add negative integers, we add the corresponding positive integers and retain the negative sign with the sum.",Q. 51,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
0 _______ 1,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/1530605101808776.jpg""/>
<
Since 0 lies to the left of 1, 0 < 1.


0 is smaller than all positive integers.",Q. 52,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
–60 _______ 50,NA,"<
Positive integers are greater than negative integers.",Q. 53,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
–10 _______ –11,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/153060510249162.jpg""/>
>

For two negative integers, the one closer to zero is always greater.",Q. 54,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
–101 _______ –102,NA,">
For two negative integers, the one closer to zero is always greater.",Q. 55,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
(–2) + (–5) + (–6) _______ (–3) + (–4) + (–6),NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/1530605103215366.png""/>
The sign will be ""="".",Q. 56,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
0 _______ –2,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/1530605105388723.jpg""/>
2 lies to the left of 0. So, 0 > -2.",Q. 57,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
1 + 2 + 3 _______ (–1) + (–2) + (–3),NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/1530605106231443.png""/>
To add a positive integer and a negative integer, we ignore the signs and subtract integer with smaller numerical value from the integer with larger numerical value and take the sign of the larger one.


Since 3 is the larger of the numbers, negative sign is retained.",Q. 58,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/1530605110441721.png""/>
Match the items of Column I with that of Column II:",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/1530605111170292.jpg""/>
Additive inverses are negatives of each other. So, additive inverse of +2 is -2.


In case of negative integers, the one closer to zero is always greater. -1 is closest to zero.



Negative even integers are -2, -4, -6,.. . Out of them, -2 is greatest.



0 is the smallest integer greater than every negative integer.


Predecessor of -1 is -2

Successor of -1 is 0.


Sum of predecessor and successor of -1 = -2 + 0 = -2.",Q. 59,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Compute each of the following:
(a) 30 + (–25) + (–10)

(b) (–20) + (–5)

(c) 70 + (–20) + (–30)

(d) –50 + (–60) + 50

(e) 1 + (–2) + (– 3) + (– 4)

(f) 0 + (– 5) + (– 2)

(g) 0 – (–6) – (+6)

(h) 0 – 2 – (–2)",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/153060511332425.png""/>
(a) -5

-25




60

-50 and 50 are additive inverse of each other, i.e. their sum is zero.",Q. 60,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"If we denote the height of a place above sea level by a positive integer and depth below the sea level by a negative integer, write the following using integers with the appropriate signs:
a) 200 m above sea level

b) 100 m below sea level

c) 10 m above sea level

d) sea level",NA,"A. + 200 m

B. -100 m

C. + 10 m

D. 0 m",Q. 61,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Write the opposite of each of the following:

a) Decrease in size

b) Failure

c) Profit of Rs.10

d) 1000 ",NA,"a) Increase in size

b) Success

c) Loss of Rs. 10

d) 1000 B.C.

e) Drop in water level

f) 60 km north

g) 10 m below the danger mark of river Ganga

h) 20 m above the danger mark of the river Brahmaputra

i) Losing by a margin of 2000 votes

j) Withdrawing Rs. 100 from the Bank Account

k) 20°C fall in temperature",Q. 62,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
Temperature of a place at 12:00 noon was + 5°C. Temperature increased by 3°C in first hour and decreased by 1°C in the second hour. What was the temperature at 2:00 pm?,NA,"Temperature at 12:00 noon = + 5°C

Temperature at 1:00 pm = ( + 5 + 3) = + 8°C

Temperature at 2:00 pm = ( + 8 -1) = + 7°C",Q. 63,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Write the digits 0, 1, 2, 3, ..., 9 in this order and insert ‘ + ’ or ‘–’ between them to get the result 3.",NA,"The given digits are 0, 1, 2, 3, 4, 5, 6, 7, 8 and 9.

Now to get result 3,

0 + 1 + 2 + 3 – 4 + 5 + 6 + 7 – 8 – 9

24 – 21",Q. 64,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
Write the integer which is its own additive inverse.,NA,"0 is the integer which is its own additive inverse.

0 + (-0) = 0",Q. 65,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
Write six distinct integers whose sum is 7.,NA,"Six distinct integers are -1, 0, 1, -3, 3, 7.

The sum of the numbers,

-1 + 0 + 1 – 3 + 3 + 7

0 + 7",Q. 66,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
Write the integer which is 4 more than its additive inverse.,NA,"Let, the integer is A and its additive inverse is x.

A + x = 0

x = - A

According to problem,

A = - A + 4

2A = + 4

A = + 2

The integer is = + 2",Q. 67,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
Write the integer which is 2 less than its additive inverse.,NA,"Let, the integer is A and its additive inverse is x.

A + x = 0

x = - A

According to problem,

A = - A – 2

2A = - 2

A = -1

The integer is = -1",Q. 68,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
Write two integers whose sum is less than both the integers.,NA,"Sum of any two negative integers is less than both the integers.

Let, two integers are – 4 and – 7.

-4 + -7 = -11

We know, -11<-4,-7",Q. 69,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
Write two distinct integers whose sum is equal to one of the integers.,NA,"When we add 0 to any other integer the sum is equal to that integer.

Let, 0 and 5 are two distinct integers.

We know, 0 + 5 = 5",Q. 70,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Using number line, how do you compare

A. two negative integers?

B. two positive integers?

C. one positive and one negative integer?",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18481/1530605118401629.png""/>
A. If we compare two negative integers on the number line, then the number which is on the left to the other number, is the smaller number.

B. If we compare two positive integers on the number line, then the number which is on the left to the other number, is the smaller number.

C. On the number line positive numbers lie on the right of zero and negative numbers lie on the left of zero. So, negative numbers is always on the left of the positive numbers, hence negative numbers are always smaller than positive numbers.


As we can see -5 < -2

+ 2 < + 4

-3 < + 3",Q. 71,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Observe the following:

1 + 2 – 3 + 4 + 5 – 6 – 7 + 8 – 9 = –5

Change one ‘–’ sign as ‘ + ’ sign to get the sum 9.",NA,"We can observe that,

1 + 2 – 3 + 4 + 5 – 6 – 7 + 8 – 9

(1 + 2 – 3) + (4 + 5 – 9) – 6 – 7 + 8

0 + 0 + 2 – 7

2 – 7

If we change the sign of 7 from ‘–’ to ‘ + ’ it would become,

2 + 7",Q. 72,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Arrange the following integers in the ascending order:

–2, 1, 0, –3, + 4, –5",NA,"The ascending order of the following numbers :-

-5 < -3 < -2 < 0 < 1 < + 4",Q. 73,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Arrange the following integers in the descending order:

–3, 0, –1, –4, –3, –6",NA,"The descending order of the following numbers :-

0 > -1 > -3 > -4 > -6",Q. 74,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
Write two integers whose sum is 6 and difference is also 6.,NA,"The required integers are 0 and 6

We know, 0 + 6 = 6

Also, 6 – 0 = 6",Q. 75,exercise,https://school.gradeup.co/ex-3-q1-every-integer-less-than-0-has-the-signa-b-c-d-i-1nkla4,3. Integers,maths,Grade 6,NCERT Exemplar Class 6 Maths
